Rank,Title,URL
1.,An intuitive guide to Maxwell's equations (2020) (photonlines.substack.com),https://photonlines.substack.com/p/an-intuitive-guide-to-maxwells-equations
2.,Quake in 13kb (2021) (js13kgames.com),https://js13kgames.com/entries/q1k3
3.,The Intellectual Obesity Crisis (gurwinder.blog),https://www.gurwinder.blog/p/the-intellectual-obesity-crisis
4.,Everything I know about the fast inverse square root algorithm (github.com/francisrstokes),https://github.com/francisrstokes/githublog/blob/main/2024%2F5%2F29%2Ffast-inverse-sqrt.md
5.,"HN-text: an easy-to-use, text-first Hacker News terminal client (github.com/piqoni)",https://github.com/piqoni/hn-text
6.,Udio – AI Music Generator (udio.com),https://www.udio.com/
7.,Lowering resource usage with foot and systemd (rgoswami.me),https://rgoswami.me/posts/lowering-resource-usage-foot-systemd/
8.,Upgrading my Chumby 8 kernel part 10: RTC (downtowndougbrown.com),https://www.downtowndougbrown.com/2024/06/upgrading-my-chumby-8-kernel-part-10-rtc/
9.,Ask HN: What was your most humbling learning moment?,item?id=40555435
10.,Eight years of organizing tech meetups (2023) (eatonphil.com),https://notes.eatonphil.com/eight-years-of-tech-meetups.html
